"","WINS","bt_H","bt_2B","bt_3B","bt_HR","bt_BB","bt_SO","br_SB","br_CS","ph_H","ph_HR","ph_BB","ph_SO","fd_E","fd_DP","bt_1B","BB"
"1",70,1339,219,22,190,685,1075,37,28,1347,191,689,1082,193,155,908,0.994194484760523
"2",86,1377,232,35,137,602,917,46,27,1377,137,602,917,175,153,973,1
"3",70,1387,209,38,96,451,922,43,30,1396,97,454,928,164,156,1044,0.993392070484581
"4",82,1297,186,27,102,472,920,49,39,1297,102,472,920,138,168,982,1
"5",75,1279,200,36,92,443,973,107,59,1279,92,443,973,123,149,951,1
"6",80,1244,179,54,122,525,1062,80,54,1244,122,525,1062,136,186,889,1
"7",85,1273,171,37,115,456,1027,40,36,1281,116,459,1033,112,136,950,0.993464052287582
"8",86,1391,197,40,114,447,922,69,27,1391,114,447,922,127,169,1040,1
"9",76,1271,213,18,96,441,827,72,34,1271,96,441,827,131,159,944,1
"10",78,1305,179,27,82,374,888,60,39,1364,86,391,928,119,141,1017,0.956521739130435
"11",68,1372,203,31,95,509,801,119,79,1372,95,509,801,147,150,1043,1
"12",72,1332,196,41,55,597,816,221,109,1340,55,601,821,185,165,1040,0.993344425956739
"13",76,1265,210,23,63,534,812,126,80,1265,63,534,812,150,139,969,1
"14",74,1380,233,40,131,542,880,159,89,1380,131,542,880,147,137,976,1
"15",87,1417,226,28,108,539,682,86,69,1417,108,539,682,136,136,1055,1
"16",88,1563,242,43,164,589,843,100,53,1563,164,589,843,135,172,1114,1
"17",66,1460,239,32,107,546,900,92,64,1478,108,553,911,136,146,1082,0.987341772151899
"18",75,1390,197,24,143,579,841,65,49,2047,211,853,1239,149,177,1026,0.678780773739742
"19",93,1518,268,26,186,613,760,55,53,1518,186,613,760,106,171,1038,1
"20",70,1467,241,22,154,509,835,41,39,1467,154,509,835,154,190,1050,1
"21",81,1363,211,30,150,556,928,80,51,1363,150,556,928,128,170,972,1
"22",90,1364,215,31,153,648,902,106,51,1364,153,648,902,112,202,965,1
"23",92,1387,236,36,167,671,860,109,42,1387,167,671,860,107,156,948,1
"24",75,1406,257,26,172,590,926,125,44,1406,172,590,926,117,162,951,1
"25",75,1458,258,31,124,469,819,86,52,1458,124,469,819,135,175,1045,1
"26",91,1422,208,37,145,429,1011,89,40,1422,145,429,1011,96,173,1032,1
"27",80,1448,237,27,147,566,1000,69,43,1448,147,566,1000,140,186,1037,1
"28",81,1396,245,29,115,448,928,94,56,1396,115,448,928,102,156,1007,1
"29",72,1306,202,20,88,416,882,160,101,1306,88,416,882,134,172,996,1
"30",71,1399,259,24,114,564,930,169,100,1399,114,564,930,120,161,1002,1
"31",66,1468,251,23,169,566,1007,92,76,2068,238,797,1419,107,155,1025,0.710163111668758
"32",87,1553,282,28,208,630,993,65,44,1735,232,704,1109,106,134,1035,0.894886363636364
"33",70,1581,258,24,193,530,980,53,39,1591,194,533,986,129,157,1106,0.99437148217636
"34",84,1531,279,25,161,617,953,126,72,1531,161,617,953,126,140,1066,1
"35",85,1530,314,27,147,510,1028,93,45,1530,147,510,1028,106,146,1042,1
"36",70,1404,248,22,158,511,1022,71,45,1404,158,511,1022,106,156,976,1
"37",82,1574,309,34,236,608,1024,93,52,1574,236,608,1024,134,184,995,1
"38",75,1447,275,26,158,494,1001,116,52,1447,158,494,1001,103,142,988,1
